missed_payments,transaction_dayofweek,age,monthly_income,purchase_amount,repayment_delay_days,debt_to_income_ratio,employment_type_Salaried,employment_type_Self-Employed,employment_type_Student,employment_type_Unemployed,product_category_Beauty,product_category_Electronics,product_category_Fashion,product_category_Home,product_category_Sports,default_flag
2,6,48,71585.63,5000.0,6,0.0698464202941288,1,0,0,0,0,1,0,0,0,0
1,3,47,76224.57,5000.0,10,0.0655956471778063,1,0,0,0,1,0,0,0,0,0
1,2,53,15143.07,885.18,17,0.0584544613476659,0,0,1,0,0,0,1,0,0,1
0,0,52,12861.79,2154.77,0,0.1675326684699408,0,0,0,1,1,0,0,0,0,0
0,4,26,9143.63,3781.05,2,0.4135173886082443,0,0,0,1,0,1,0,0,0,0
3,0,18,9072.55,4607.53,21,0.5078539109732104,1,0,0,0,1,0,0,0,0,1
1,2,28,5000.0,189.53,7,0.037906,0,0,0,1,1,0,0,0,0,0
0,5,27,11300.44,4100.58,2,0.3628690564261214,0,0,0,1,0,1,0,0,0,1
0,1,29,17235.35,3639.59,1,0.2111700661721404,0,0,0,1,0,0,1,0,0,1
0,2,28,11713.14,4430.21,1,0.3782256508502417,0,0,1,0,1,0,0,0,0,0
1,1,44,14739.9,5000.0,1,0.3392153271053399,0,0,0,1,0,1,0,0,0,0
3,6,21,28635.66,5000.0,31,0.1746074649580278,1,0,0,0,0,0,0,1,0,1
3,3,21,31097.38,2336.97,15,0.0751500608732954,1,0,0,0,0,0,0,0,1,0
2,3,21,69641.65,4564.99,15,0.0655497105539573,0,1,0,0,1,0,0,0,0,0
2,4,48,18862.97,5000.0,18,0.2650696046274791,0,0,0,1,1,0,0,0,0,1
0,1,24,8971.58,3338.54,0,0.3721239737036285,0,0,0,1,0,0,0,1,0,0
1,2,49,21240.11,3398.92,11,0.1600236533614938,0,0,1,0,0,1,0,0,0,0
4,3,42,20471.32,5000.0,14,0.2442441425369736,0,0,1,0,1,0,0,0,0,1
2,0,42,11945.26,4869.3,20,0.4076344926774302,0,0,0,1,0,0,1,0,0,0
1,3,19,44888.69,5000.0,12,0.1113866321338403,0,1,0,0,0,0,0,1,0,0
2,1,28,10160.25,4497.61,11,0.4426672572033168,0,0,0,1,0,1,0,0,0,1
2,2,49,45272.41,5000.0,15,0.1104425410531491,1,0,0,0,0,0,0,0,1,0
0,5,50,14487.09,5000.0,2,0.345134875257902,0,0,0,1,0,0,0,1,0,0
0,0,42,53539.49,5000.0,0,0.0933890106162759,1,0,0,0,0,0,0,0,1,0
1,6,44,25836.8,244.5,10,0.0094632462224424,0,0,1,0,1,0,0,0,0,1
0,3,47,27634.23,5000.0,2,0.1809350215294582,0,0,1,0,0,0,0,1,0,0
1,1,29,16226.62,4577.01,3,0.2820679845833574,0,0,1,0,0,0,1,0,0,0
1,3,42,17194.41,4104.9,11,0.2387345654779663,0,0,1,0,0,0,1,0,0,1
0,3,21,26881.11,3533.11,3,0.1314346766186366,1,0,0,0,0,0,0,1,0,0
0,3,49,65323.14,5000.0,1,0.0765425544454844,1,0,0,0,0,0,0,1,0,0
3,4,30,13565.29,5000.0,11,0.3685877707000735,0,0,0,1,0,0,1,0,0,1
1,1,57,62362.35,5000.0,19,0.080176580901778,0,1,0,0,1,0,0,0,0,0
0,6,27,37327.1,5000.0,0,0.1339509364509967,1,0,0,0,1,0,0,0,0,0
1,3,58,13276.63,2792.02,20,0.2102958356149113,0,0,0,1,0,0,0,1,0,1
3,1,57,25674.12,5000.0,14,0.1947486418229719,0,0,1,0,0,0,0,1,0,1
0,4,50,14449.62,4313.71,0,0.2985344943327229,0,0,0,1,0,0,0,0,1,1
0,0,50,123526.86,5000.0,0,0.0404770266159117,0,1,0,0,0,0,0,1,0,0
2,2,52,23482.09,5000.0,4,0.2129282359449265,0,0,1,0,0,1,0,0,0,0
4,3,44,47403.32,5000.0,20,0.1054778441678768,1,0,0,0,0,0,0,1,0,1
0,2,53,32968.4,5000.0,4,0.1516603778163332,1,0,0,0,0,1,0,0,0,0
1,2,18,9914.63,4789.89,20,0.483113338571384,0,0,1,0,1,0,0,0,0,0
2,3,45,101112.56,5000.0,7,0.0494498408506322,0,1,0,0,0,1,0,0,0,0
2,4,30,9776.18,837.88,15,0.0857062779122315,0,0,0,1,1,0,0,0,0,0
0,2,19,30347.86,5000.0,2,0.1647562628798208,1,0,0,0,0,0,1,0,0,0
1,1,22,7977.48,340.8,3,0.0427202575249326,0,0,0,1,0,0,1,0,0,1
0,2,38,78238.27,5000.0,3,0.0639073435545034,0,1,0,0,1,0,0,0,0,0
0,4,39,41368.13,4297.57,1,0.1038860108010683,1,0,0,0,0,0,0,0,1,0
2,6,31,18049.22,5000.0,13,0.2770202812088278,0,0,1,0,0,0,1,0,0,0
1,2,22,45870.6,5000.0,17,0.1090022803277044,0,1,0,0,0,0,1,0,0,1
1,0,38,5000.0,1393.49,17,0.278698,0,0,0,1,0,0,0,0,1,1
0,0,30,78566.45,5000.0,2,0.0636403961232816,1,0,0,0,0,0,0,1,0,0
1,3,44,21474.38,4036.73,13,0.1879788846057488,0,0,0,1,0,1,0,0,0,0
0,1,36,39387.47,5000.0,2,0.1269439240448802,0,1,0,0,0,0,0,1,0,0
1,5,23,50590.6,5000.0,18,0.0988325894533767,0,1,0,0,0,0,0,0,1,1
0,1,26,9784.56,2917.46,0,0.2981697695144186,0,0,0,1,0,0,0,0,1,0
1,6,31,16012.44,3922.25,15,0.2449501762379749,0,0,1,0,0,0,1,0,0,0
5,5,21,14423.46,4076.83,18,0.2826527060774599,1,0,0,0,0,0,0,0,1,1
1,4,22,8986.51,4260.59,19,0.4741095263901114,0,0,0,1,0,0,0,0,1,0
0,3,32,58590.02,100.0,2,0.0017067753177076,0,1,0,0,0,0,0,1,0,0
1,5,33,8446.96,3435.1,5,0.4066670139316393,0,0,1,0,0,0,0,0,1,0
0,3,50,13548.73,5000.0,7,0.3690382788645135,0,0,1,0,0,1,0,0,0,0
2,4,18,7536.48,1849.34,7,0.2453851134747256,0,0,1,0,1,0,0,0,0,0
2,6,56,95197.25,5000.0,14,0.0525225255981659,0,1,0,0,0,0,0,0,1,0
0,6,36,80138.56,5000.0,2,0.0623919371648305,0,1,0,0,0,0,0,0,1,0
0,3,53,11938.99,3346.42,0,0.2802933916520577,0,0,1,0,0,0,0,0,1,0
0,3,40,81419.51,5000.0,0,0.0614103425579446,0,1,0,0,0,0,0,1,0,0
0,2,28,23877.45,5000.0,3,0.2094025953357665,0,0,1,0,0,0,0,1,0,0
1,6,39,18800.72,5000.0,10,0.2659472615942368,0,0,1,0,0,1,0,0,0,1
0,6,50,24387.57,5000.0,1,0.2050224766141112,0,0,1,0,0,0,1,0,0,0
1,0,27,9675.41,642.86,14,0.0664426623781317,0,0,0,1,0,0,0,1,0,0
1,0,42,76869.71,5000.0,7,0.0650451263573129,1,0,0,0,0,1,0,0,0,0
2,4,22,20327.05,3444.87,16,0.169472205755385,0,1,0,0,1,0,0,0,0,0
1,5,44,85613.69,5000.0,15,0.0584018747469008,0,1,0,0,1,0,0,0,0,0
2,6,42,8808.08,1216.48,10,0.1381095539550049,0,0,0,1,0,0,0,0,1,0
0,4,31,47539.8,5000.0,2,0.1051750322887349,0,1,0,0,0,0,0,0,1,0
1,4,53,12604.28,1823.27,14,0.1446548315334156,0,0,0,1,0,0,0,0,1,1
0,0,23,27657.31,5000.0,3,0.1807840314188183,1,0,0,0,0,0,1,0,0,1
1,4,35,16689.13,4002.6,15,0.2398327534149473,0,0,1,0,0,0,1,0,0,0
1,4,22,15846.98,100.0,9,0.0063103506157009,0,0,1,0,0,0,1,0,0,1
1,5,40,67491.42,5000.0,19,0.0740834909089185,0,1,0,0,0,0,0,1,0,0
0,2,48,13408.61,3872.96,1,0.2888412743751962,0,0,1,0,1,0,0,0,0,0
1,2,54,17004.44,5000.0,9,0.2940408505072793,0,0,1,0,1,0,0,0,0,0
2,1,50,81630.73,5000.0,11,0.0612514429308668,1,0,0,0,0,1,0,0,0,0
1,5,31,8699.27,2594.03,0,0.2981893883049957,0,0,0,1,0,0,0,0,1,0
2,1,34,33578.93,738.09,5,0.0219807480464684,0,1,0,0,0,1,0,0,0,1
1,1,28,13913.83,5000.0,5,0.3593546852304505,0,0,0,1,1,0,0,0,0,1
1,4,29,10242.69,100.0,10,0.0097630602898262,0,0,0,1,0,1,0,0,0,0
2,5,48,17904.97,5000.0,16,0.2792520735862724,0,0,1,0,0,0,0,0,1,0
2,6,29,93173.71,5000.0,13,0.0536632060696091,0,1,0,0,1,0,0,0,0,0
0,1,28,16836.83,3354.6,0,0.1992417812616745,0,0,0,1,0,0,1,0,0,0
1,6,58,34215.75,5000.0,6,0.1461315329928468,0,1,0,0,0,0,0,0,1,1
0,3,58,72988.54,5000.0,0,0.0685039048595848,1,0,0,0,0,0,0,0,1,0
1,2,55,17668.89,100.0,11,0.0056596650949776,0,0,0,1,1,0,0,0,0,1
0,5,19,10958.0,3104.77,1,0.2833336375250958,0,0,0,1,1,0,0,0,0,0
1,3,40,12900.28,1139.8,0,0.0883546713714741,0,0,1,0,1,0,0,0,0,0
0,5,18,9639.37,1604.45,2,0.1664475997912726,0,0,1,0,0,0,0,1,0,1
2,2,28,9753.21,1912.26,15,0.1960646802437351,0,0,1,0,0,0,1,0,0,1
1,6,58,40352.59,5000.0,14,0.1239077838622006,0,1,0,0,0,1,0,0,0,0
0,4,36,41027.6,5000.0,1,0.1218691807466193,0,1,0,0,1,0,0,0,0,0
0,5,53,5000.0,993.12,2,0.198624,0,0,0,1,0,0,1,0,0,0
1,4,26,39814.89,5000.0,11,0.1255811582048826,1,0,0,0,0,1,0,0,0,0
0,0,34,86725.31,5000.0,4,0.0576532963675771,0,1,0,0,0,0,0,0,1,0
0,5,53,68458.85,5000.0,3,0.0730365759868884,1,0,0,0,1,0,0,0,0,0
2,4,31,10772.03,2667.31,18,0.247614423650881,0,0,1,0,0,1,0,0,0,1
1,1,32,47561.55,5000.0,11,0.1051269355182915,0,1,0,0,0,0,0,1,0,1
2,0,48,42370.99,5000.0,12,0.1180052672831104,1,0,0,0,0,1,0,0,0,1
1,6,27,21077.42,5000.0,16,0.2372206845050295,0,0,1,0,0,0,0,0,1,0
0,4,22,5000.0,1599.87,0,0.319974,0,0,0,1,0,0,0,0,1,0
2,1,48,71675.01,5000.0,15,0.069759320577702,1,0,0,0,0,0,0,1,0,1
0,5,52,36677.01,5000.0,2,0.1363251802696021,0,1,0,0,0,0,0,0,1,1
0,0,27,8889.25,2375.62,0,0.2672463931152797,0,0,0,1,0,1,0,0,0,1
2,1,40,45133.73,5000.0,16,0.1107818919464444,1,0,0,0,1,0,0,0,0,1
1,0,35,64581.1,5000.0,11,0.0774220321425308,1,0,0,0,1,0,0,0,0,1
0,2,23,7144.29,1505.43,1,0.2107179299832453,0,0,1,0,0,0,0,0,1,1
2,0,22,6599.25,2204.82,8,0.3341016024548244,0,0,0,1,0,0,0,0,1,0
0,6,21,11281.08,5000.0,2,0.4432199753924269,0,0,0,1,0,0,1,0,0,1
1,0,21,35906.28,5000.0,13,0.1392514067177106,1,0,0,0,1,0,0,0,0,0
2,5,45,17221.71,1145.02,13,0.0664870097104178,0,0,0,1,0,0,1,0,0,0
2,2,44,20819.0,5000.0,15,0.2401652336807723,0,0,1,0,0,0,0,0,1,0
1,3,42,59926.33,5000.0,6,0.0834357785634461,0,1,0,0,1,0,0,0,0,0
2,3,45,14955.03,3006.39,12,0.2010286839946158,0,0,0,1,0,0,0,1,0,1
1,0,25,11084.55,2573.67,9,0.2321853390530062,0,0,0,1,0,0,0,1,0,1
2,0,55,10334.04,3049.41,20,0.2950840136093918,0,0,0,1,0,0,0,0,1,1
1,0,52,78310.49,2481.32,8,0.0316856656113376,0,1,0,0,0,0,0,0,1,0
1,0,39,29860.71,5000.0,11,0.1674441096678545,1,0,0,0,0,1,0,0,0,1
1,3,43,78126.56,5000.0,8,0.0639987220735176,0,1,0,0,0,1,0,0,0,0
1,5,44,105762.46,5000.0,18,0.0472757536086055,0,1,0,0,1,0,0,0,0,1
2,0,49,56658.81,100.0,15,0.0017649505875608,0,1,0,0,0,1,0,0,0,1
0,2,26,28127.37,4065.37,3,0.1445343094644113,1,0,0,0,0,0,1,0,0,0
0,2,42,5792.69,1559.39,1,0.2691996291878212,1,0,0,0,0,0,0,1,0,0
0,6,49,35403.38,5000.0,0,0.1412294532329964,1,0,0,0,0,0,0,0,1,0
0,6,46,48187.95,5000.0,3,0.1037603799290071,1,0,0,0,0,0,0,0,1,0
3,3,24,10812.72,1214.66,16,0.1123362114250623,0,0,1,0,0,0,1,0,0,1
0,6,20,34386.44,781.44,4,0.0227252370411127,1,0,0,0,0,0,0,1,0,0
2,3,19,9061.76,2349.05,20,0.2592266844409916,0,0,0,1,0,0,0,1,0,1
1,2,47,5000.0,2707.03,12,0.541406,0,0,0,1,0,1,0,0,0,0
0,5,54,102788.28,5000.0,0,0.0486436780535679,0,1,0,0,0,1,0,0,0,0
3,4,32,16569.54,5000.0,12,0.3017585279977597,0,0,0,1,1,0,0,0,0,0
0,2,49,17692.86,4689.35,3,0.2650419434732429,0,0,1,0,0,0,0,0,1,0
2,1,47,22023.86,5000.0,15,0.227026506706817,0,0,1,0,0,0,1,0,0,0
0,5,42,83449.55,5000.0,3,0.059916440532034,0,1,0,0,0,0,1,0,0,0
1,5,38,5000.0,1884.89,18,0.376978,0,0,0,1,0,0,1,0,0,1
1,0,31,42785.66,5000.0,10,0.116861583998003,1,0,0,0,0,0,0,0,1,1
1,5,55,16468.6,4698.1,22,0.2852762226297318,0,1,0,0,0,1,0,0,0,1
0,2,39,79384.39,5000.0,2,0.0629846749467999,1,0,0,0,0,0,1,0,0,0
1,4,34,12472.56,225.77,16,0.0181013360529033,1,0,0,0,0,0,0,0,1,1
1,4,20,5000.0,893.19,7,0.178638,0,1,0,0,0,0,0,1,0,0
1,3,38,8670.28,864.26,2,0.099680748487938,0,0,1,0,0,1,0,0,0,0
2,4,32,38052.88,5000.0,6,0.131396099322837,0,1,0,0,1,0,0,0,0,0
0,0,31,14962.75,4709.82,1,0.3147696780337838,0,0,0,1,1,0,0,0,0,0
1,5,27,77514.47,5000.0,11,0.064504085495263,0,1,0,0,1,0,0,0,0,0
1,3,56,76459.98,5000.0,12,0.0653936869980871,1,0,0,0,0,0,0,0,1,0
2,5,23,15028.14,5000.0,18,0.3327091709286711,0,0,1,0,1,0,0,0,0,1
0,0,59,15683.39,5000.0,1,0.3188086249210152,0,0,0,1,0,0,0,1,0,0
2,1,43,56369.8,5000.0,11,0.0886999776476056,0,1,0,0,0,1,0,0,0,1
0,0,29,8435.8,2544.87,2,0.3016750041489841,0,0,0,1,0,1,0,0,0,0
0,1,57,9632.99,998.56,3,0.1036604418773402,0,0,1,0,0,0,0,0,1,1
2,4,22,32299.05,5000.0,7,0.1548033146485732,1,0,0,0,0,0,1,0,0,0
2,1,31,18546.08,5000.0,9,0.2695987507872283,0,0,0,1,1,0,0,0,0,0
0,0,30,18933.07,1895.46,0,0.1001137163703509,0,0,1,0,0,0,1,0,0,1
2,2,58,46235.95,5000.0,13,0.1081409595779907,0,1,0,0,1,0,0,0,0,1
3,3,42,64938.71,5000.0,13,0.0769956779246153,1,0,0,0,0,0,0,1,0,1
3,6,34,42335.32,5000.0,12,0.1181046936694939,0,1,0,0,1,0,0,0,0,1
2,1,51,83500.15,5000.0,13,0.0598801319518587,0,1,0,0,0,0,1,0,0,0
2,1,48,52584.81,5000.0,16,0.0950844930313526,0,1,0,0,0,0,1,0,0,1
0,3,57,44144.27,5000.0,1,0.1132649832016703,1,0,0,0,0,0,1,0,0,1
1,3,27,5000.0,1738.11,6,0.347622,0,0,0,1,0,0,0,0,1,1
0,6,42,25294.57,5000.0,0,0.1976708835137343,0,0,1,0,0,0,0,0,1,0
3,1,40,13581.33,4720.35,19,0.3475616894663483,0,0,1,0,1,0,0,0,0,1
0,1,26,12136.12,5000.0,1,0.4119932894533014,0,0,1,0,0,1,0,0,0,0
1,5,52,31788.71,5000.0,8,0.1572885467828043,1,0,0,0,0,0,0,1,0,1
0,0,33,12257.6,4923.28,1,0.4016512204673019,0,0,1,0,0,0,1,0,0,0
1,0,21,30635.68,5000.0,13,0.1632083896946305,0,1,0,0,0,0,0,1,0,1
0,6,59,58833.04,5000.0,0,0.0849862594215767,0,1,0,0,0,0,0,1,0,0
3,6,52,58822.47,5000.0,15,0.0850015308775711,1,0,0,0,0,1,0,0,0,1
1,3,20,28420.86,5000.0,12,0.175927118320839,1,0,0,0,0,0,0,0,1,1
1,4,58,13134.24,5000.0,9,0.3806843791494597,0,0,1,0,0,0,0,0,1,1
1,1,51,15476.9,2682.93,15,0.173350606387584,0,0,0,1,0,0,1,0,0,0
1,3,43,8758.19,2568.96,12,0.2933208802275356,0,0,1,0,0,0,0,0,1,0
1,5,51,13654.71,3775.78,12,0.276518505336254,0,0,0,1,1,0,0,0,0,0
0,2,42,15184.95,5000.0,2,0.3292733924049799,0,0,0,1,0,0,0,0,1,1
1,1,19,8802.43,3489.54,6,0.3964291678547855,0,0,0,1,1,0,0,0,0,0
0,1,28,16509.59,4466.2,3,0.2705215574705368,0,0,1,0,0,1,0,0,0,0
1,5,20,53043.61,5000.0,16,0.0942620609720944,0,1,0,0,0,0,0,1,0,1
1,4,45,15377.79,5000.0,1,0.3251442502466219,0,0,0,1,1,0,0,0,0,1
0,2,26,9922.32,4539.63,0,0.4575169919938079,0,0,0,1,0,1,0,0,0,0
2,2,47,10755.94,1828.77,21,0.1700241912840718,0,0,1,0,0,0,0,0,1,1
1,4,57,12469.06,4823.8,0,0.3868615597326503,0,0,1,0,1,0,0,0,0,0
2,3,52,18146.67,4412.34,13,0.243148742992516,0,0,1,0,0,0,0,1,0,1
3,3,28,17423.96,547.93,16,0.0314469271049749,1,0,0,0,0,1,0,0,0,1
1,1,36,19607.86,5000.0,9,0.2549997807001886,0,0,1,0,0,0,0,1,0,0
1,0,47,56365.07,5000.0,5,0.0887074211031761,0,1,0,0,0,0,1,0,0,0
2,6,24,38988.44,5000.0,22,0.1282431407873718,1,0,0,0,0,1,0,0,0,1
1,6,46,20279.61,2440.09,13,0.1203223336148969,0,0,1,0,0,0,1,0,0,0
0,4,35,10163.75,3037.91,2,0.2988965686877383,0,0,0,1,0,0,1,0,0,1
0,2,52,10268.47,3020.86,4,0.2941879364696007,0,0,1,0,0,0,0,1,0,1
1,0,51,11609.43,4065.52,22,0.3501911807900991,0,0,0,1,1,0,0,0,0,1
0,3,28,9018.37,3434.75,1,0.3808615082326407,0,0,0,1,0,0,1,0,0,0
2,3,43,99609.01,5000.0,14,0.0501962623662257,1,0,0,0,1,0,0,0,0,0
2,2,40,21689.96,5000.0,5,0.2305214025290964,0,0,1,0,0,1,0,0,0,1
0,3,43,14542.56,4329.95,1,0.2977433134193704,0,0,1,0,0,0,1,0,0,0
1,0,43,71097.51,5000.0,8,0.0703259509369596,0,1,0,0,0,1,0,0,0,0
0,6,53,16013.39,643.29,0,0.0401720060524348,0,0,1,0,0,0,1,0,0,0
0,4,58,13005.27,2261.92,1,0.1739233403074292,0,0,0,1,0,0,0,1,0,0
3,6,59,25002.6,4512.69,22,0.1804888291617671,0,0,1,0,0,0,1,0,0,0
0,5,47,15938.53,100.0,1,0.0062741043245518,0,0,0,1,0,0,1,0,0,1
1,1,35,56255.16,5000.0,3,0.0888807355627465,0,1,0,0,0,0,0,1,0,0
1,4,22,13802.3,5000.0,9,0.3622584641690153,0,0,1,0,0,0,0,1,0,1
2,1,59,54967.61,100.0,24,0.0018192531929257,1,0,0,0,1,0,0,0,0,1
2,0,37,11023.63,3737.06,10,0.339004484003908,0,0,0,1,0,0,0,1,0,1
0,5,54,20382.67,5000.0,3,0.2453064294324541,0,0,1,0,0,0,0,0,1,0
2,4,55,5000.0,2107.1,11,0.4214199999999999,0,0,0,1,1,0,0,0,0,0
0,3,20,25964.67,4465.67,3,0.1719902467468294,1,0,0,0,1,0,0,0,0,0
2,0,35,49857.09,5000.0,7,0.1002866392723682,1,0,0,0,1,0,0,0,0,0
1,1,28,46623.1,5000.0,7,0.1072429761212789,0,1,0,0,1,0,0,0,0,0
3,6,57,5000.0,1511.7,7,0.30234,0,0,1,0,0,0,0,0,1,1
0,1,23,44604.41,5000.0,5,0.1120965393332183,0,1,0,0,0,1,0,0,0,0
0,0,45,23659.77,5000.0,5,0.2113291887452836,0,0,1,0,0,0,0,1,0,1
2,6,23,9170.9,3563.27,21,0.3885409283712613,0,0,0,1,0,0,0,1,0,1
1,2,53,5283.16,1040.73,13,0.1969900589798529,0,0,0,1,0,0,1,0,0,1
1,6,26,15249.5,3074.12,8,0.2015882487950424,0,0,1,0,0,0,0,1,0,0
2,1,54,89961.7,5000.0,15,0.0555792075961214,1,0,0,0,0,0,1,0,0,0
0,5,25,45986.04,5000.0,2,0.1087286489552046,1,0,0,0,0,0,0,0,1,1
2,2,33,62725.52,5000.0,13,0.0797123722529522,0,1,0,0,0,0,0,1,0,0
0,4,20,8145.92,4397.15,3,0.5397978374450031,0,0,0,1,0,0,1,0,0,0
1,6,59,15673.46,100.0,9,0.0063802121548145,0,0,0,1,0,0,1,0,0,1
0,1,54,71239.14,5000.0,0,0.0701861364412877,1,0,0,0,0,0,0,0,1,0
1,1,28,5000.0,2654.1,9,0.53082,0,0,1,0,0,0,0,1,0,1
2,4,20,6381.96,2032.47,8,0.3184711279920275,0,0,0,1,0,1,0,0,0,0
1,2,36,90379.85,5000.0,11,0.0553220657038045,0,1,0,0,0,0,0,0,1,0
0,3,22,43993.77,470.89,3,0.0107035609814753,1,0,0,0,0,0,0,1,0,0
0,5,59,13245.4,5000.0,0,0.377489543539644,0,0,0,1,1,0,0,0,0,0
0,1,35,15189.6,2001.46,3,0.1317651551061252,0,0,0,1,0,1,0,0,0,0
1,1,26,55503.43,5000.0,14,0.0900845227042725,0,1,0,0,1,0,0,0,0,0
2,3,52,10434.45,2731.1,17,0.2617387595896285,0,0,0,1,0,0,0,0,1,1
3,2,34,11164.74,2661.44,19,0.2383790397268543,0,0,0,1,0,0,1,0,0,1
1,6,26,60472.7,5000.0,4,0.0826819374693043,1,0,0,0,0,0,0,0,1,0
1,3,56,80588.88,5000.0,5,0.0620432992740437,1,0,0,0,0,0,1,0,0,0
3,1,55,56225.3,5000.0,10,0.088927938134612,1,0,0,0,0,0,1,0,0,0
1,2,46,61687.77,5000.0,15,0.0810533433126209,0,1,0,0,0,1,0,0,0,0
